Timestamp,How much money do you ask for (in USD)?,How many years old are you?,What is your gender?,About how much do you make per year?,"On a scale of 1 to 10, how greedy would you say you are?",Do you own a home?,Name a color.,Source
6/18/2019 11:49:06,17000,27,Female,80000,5,Yes,blue,Facebook
6/18/2019 19:01:58,300000,30,Male,45000,3,Yes,Green,Facebook
6/18/2019 19:06:13,500000,56,Female,100000,6,Yes,Red,Facebook
6/18/2019 19:07:29,6000000,28,Female,2000,5,No,Red,Facebook
6/18/2019 19:18:27,700000000000000,59,Male,160000,5,Yes,Green,Facebook
6/18/2019 19:24:34,500000000,23,Female,0,6,Yes,Red,Facebook
6/18/2019 19:41:07,25000,25,Female,450000,4,Yes,Blue,Facebook
6/18/2019 20:13:22,100000,30,Female,42000,6,No,Purple ,Facebook
6/18/2019 20:42:46,1000000,29,Female,0,6,Yes,Purple,Facebook
6/18/2019 20:55:34,500000,26,Male,30000,3,No,Blue,Facebook
6/18/2019 22:04:52,10000,26,Male,150000,5,Yes,Red,Facebook
6/18/2019 22:12:08,50000,27,Male,80000,3,Yes,Blue,Facebook
6/18/2019 23:10:51,100000000000,35,Female,120000,5,Yes,Red ,Facebook
6/21/2019 20:49:22,721,38,Female,77000,5,No,Blue,Facebook
