Timestamp,How much money do you ask for (in USD)?,How many years old are you?,What is your gender?,About how much do you make per year?,"On a scale of 1 to 10, how greedy would you say you are?",Do you own a home?,Name a color.,Source
6/18/2019 19:04:48,100000,33,Male,0,4,No,blue,Slack
6/18/2019 19:05:07,1000000,28,Male,0,7,Yes,Green,Slack
6/18/2019 19:09:00,10000000,38,Male,24000,3,No,brown,Slack
6/18/2019 19:09:32,999,24,Male,0,3,No,Burgundy,Slack
6/18/2019 19:11:05,250,37,Male,42500,8,No,Green,Slack
6/18/2019 19:17:39,696,23,Male,25000,8,No,rebeccapurple,Slack
6/18/2019 19:22:17,1000000,48,Male,0,2,Yes,brown,Slack
6/18/2019 19:22:42,10000000,22,Male,40000,4,No,White,Slack
6/18/2019 19:23:11,249000,30,Male,30000,3,No,green,Slack
6/18/2019 19:23:21,10000,31,Male,0,3,No,Blue,Slack
6/18/2019 19:23:42,100000,39,Male,,3,No,blue,Slack
6/18/2019 19:29:15,100000,46,Female,35000,6,No,blue,Slack
6/18/2019 19:35:43,500,24,Female,0,4,No,cesious,Slack
6/18/2019 19:38:25,4000,32,Female,0,3,No,blue,Slack
6/18/2019 19:43:05,97000,25,Male,0,9,No,yellow,Slack
6/18/2019 19:43:47,500,40,Prefer not to say,121000,3,Yes,Teal,Slack
6/18/2019 19:50:48,5000000000,40,Male,200000,10,Yes,black,Slack
6/18/2019 19:52:37,50,20,Male,40000,3,No,Green,Slack
6/18/2019 19:53:39,100000000,29,Male,0,5,No,Yellow,Slack
6/18/2019 19:54:03,50000000,46,Male,52000,5,Yes,Blue,Slack
6/18/2019 19:56:33,0,,,,,,,Slack
6/18/2019 19:58:56,5000,20,Female,25000,4,No,Purple,Slack
6/18/2019 19:59:18,15,26,Male,42000,6,No,red,Slack
6/18/2019 20:04:11,1000,20,Male,00,6,No,blue,Slack
6/18/2019 20:06:17,10000000,,Male,20000,4,No,Purple,Slack
6/18/2019 20:08:49,100000,22,Female,20000,3,Yes,Black,Slack
6/18/2019 20:28:20,100000000,25,Attack Helicopter,0,10,No,orange,Slack
6/18/2019 20:30:30,100000,29,Male,40000,6,Yes,Black,Slack
6/18/2019 20:30:54,7000000,21,Male,0,8,No,Black,Slack
6/18/2019 21:09:37,50,27,Male,35000,5,No,green,Slack
6/18/2019 21:18:27,10000000000,23,Male,0,3,No,gray,Slack
6/18/2019 22:02:39,88888,68,Male,25252,5,No,blue,Slack
6/18/2019 22:07:14,50000,28,Male,90,6,No,blue,Slack
6/18/2019 22:11:10,500000,22,Female,50000,10,No,Red,Slack
6/18/2019 22:25:05,100000000,30,Male,0,3,No,green,Slack
6/19/2019 7:00:30,250000,28,Data Scientist,6,10,No,okay,Slack
6/19/2019 8:54:43,0.00000001,32,Male,20000,3,No,blue,Slack
6/19/2019 8:58:09,500,23,Male,0,8,No,Black,Slack
6/19/2019 8:58:38,1500000,35,Female,150000,5,Yes,blue,Slack
6/19/2019 8:59:17,20000,22,Male,1000,4,No,red,Slack
6/19/2019 8:59:22,10000,48,Female,105000,5,No,Pink,Slack
6/19/2019 9:01:02,999,28,Male,0,4,No,fuschia,Slack
6/19/2019 10:03:10,10000,25,Male,24000,6,No,Orange,Slack
6/19/2019 10:50:56,9999999.99,29,Male,,6,No,Crimson,Slack
6/19/2019 16:57:28,50000,24,Male,43000,6,No,Green,Slack
6/20/2019 1:18:50,5000000,44,Female,100000,6,Yes,Pink,Slack
6/20/2019 9:50:05,10000,35,Male,0,7,No,Blue,Slack
6/21/2019 7:29:33,35000,25,Male,40000,4,No,blue,Slack
6/22/2019 0:02:22,250000,27,Female,94000,5,No,pink,Slack
6/22/2019 18:23:59,100000,28,Female,,5,No,Yellow,Slack
